transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInUSD,blockTimestamp
0xd23176a287c7528236b5abb1aad7bd30ba49372fbd4f41513821a808e60a9c4c,0xd320652488ab35aad89fc8b2d9d1b3eb8516b1e9,ethereum-mainnet,avalanche-mainnet,0xda06ee2dacf9245aa80072a4407debdea0d7e341,savETH,100000000000000,0.000100000000000000,,,0.021922565865981149,,0.52,2025-09-15T00:15:11
0x16b61ca796b6247192b6b6780f94423913313c2b53bacc3a73bc0f434d636ea7,0x52bf211907a4c256195f3c6a369787efac923565,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,tETH,20609097645000000,0.020609097645000000,5505.28,113.46,0.022337110121031033,,0.53,2025-09-15T00:23:59
0x6aa93c88bfc854bd347205e9cdd947356f6745ce522661c9f0ef7d777ab4b204,0x0df78d5110b2b2fde4166842922a306f68e1892f,ethereum-mainnet,ronin-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1496003604,1496.003604,0.999761,1495.65,0.021270728673864286,,0.50,2025-09-15T00:29:47
0xc61279d34fce07c2ad4b9226680737b28386561165a7132cf2b4d319120a7220,0xee796e9e58ae7b248ee34b752835b4eda11ec8a5,ethereum-mainnet,binance_smart_chain-mainnet,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,WLFI,148991630000000000000000,148991.630000000000000000,0.217353,32383.78,0.023317221716002069,,0.55,2025-09-15T00:31:35
0x9a16ed1c69227ce71e565246df596c36adcf64afebd8fe6d855db83e3cd49598,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,ethereum-mainnet,avalanche-mainnet,0xa19f5264f7d7be11c451c093d8f92592820bea86,BYTES,242018583149947453440,242.018583149947453440,2.07,500.98,0.022356821522668033,,0.53,2025-09-15T00:47:59
0xa9fd2f013acd0e98e6903f9b731e32b63a94f511435f4a8603aede1b9a72d1ad,0xd5a9b8f91bfeeb83d2019635b19eec62cdddc787,ethereum-mainnet,ronin-mainnet,0x95b4b8cad3567b5d7ef7399c2ae1d7070692ab0d,APRS,35354600000000000000,35.354600000000000000,0.00359992,0.13,0.021270728673864286,,0.50,2025-09-15T00:59:23
0x15b8a9f0fe2c96bc502aad59a37c78766cb01bb19ed28929cf0b709f72f3cad7,0x70c69520eb6595d102bfd8aed8fc58428489c4e4,ethereum-mainnet,binance_smart_chain-mainnet,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,WLFI,52998811002592152000000,52998.811002592152000000,0.217353,11519.45,0.023317221716002069,,0.55,2025-09-15T01:08:11
0xac99afc50ce71ef310e8f2980a76422f9d3ec832c86890806963192302c6873a,0x70c69520eb6595d102bfd8aed8fc58428489c4e4,ethereum-mainnet,binance_smart_chain-mainnet,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,WLFI,83991210000000000000000,83991.210000000000000000,0.217353,18255.74,0.023317221716002069,,0.55,2025-09-15T01:11:11
0xcf25971bbfac79de62521187c7c6cac73c22adb990a8fadfb79a9a5ee90d45d9,0x70c69520eb6595d102bfd8aed8fc58428489c4e4,ethereum-mainnet,binance_smart_chain-mainnet,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,WLFI,104991210000000000000000,104991.210000000000000000,0.217353,22820.15,0.023317221716002069,,0.55,2025-09-15T01:15:35
0x70ce20b6fcd384fc73dcb248b543483a2e26d0681dbb4de13400dc890ace045f,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,binance_smart_chain-mainnet,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,WLFI,66182623311000000000000,66182.623311000000000000,0.217353,14384.99,0.024262376367094107,,0.57,2025-09-15T01:24:35
0xc2f3daa2076cd0cdd90080d2a351180979cffda8e89fd1e1bdb5aedeb48aed1d,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,131450000000000000000,131.450000000000000000,4522.49,594481.31,0.021270988939551729,,0.50,2025-09-15T01:57:35
