transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInUSD,blockTimestamp
0xf9481bae88049bf1688497c4fb65759540100a605fa79c18def16621f9811238,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0xa95c5ebb86e0de73b4fb8c47a45b792cfea28c23,SDL,142171388000000000000,142.171388000000000000,0.897355,127.58,0.022783751355456943,,0.57,2025-09-13T00:01:47
0xa501f60aa5549dc594423facce49ea94e04ce78c1f6fc78d98f3652c0185bd14,0x099f52b74dfe2435a93b74872dd695eae80e57e2,ethereum-mainnet,polygon-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1000000,1,0.999795,1.00,0.020930372399737440,,0.52,2025-09-13T00:18:47
0x7a4332af7640056343423f47c3aea6445e5f07400d95b8363759d938bec91c84,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,SDT,108589150000000000000,108.589150000000000000,0.425183,46.17,0.022783751355456943,,0.57,2025-09-13T00:19:47
0x7a83f09873047a32a68f8360a5518b74843b34d6291b25f5e3b84a366c1ca546,0x6d7ac63aaa7ba8925dcb3e44be6355261dcf688f,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,syrupUSDC,74201881113,74201.881113,1.12,83106.11,0.021981728798907280,,0.55,2025-09-13T00:20:11
0x47cf96488870012c18dec96d594c0a4e1cf4d8b70de3cafcfb08d4f2ad0f0afd,0x25e6bc33060c1fee8e08532d0c1c32c4cbf10e2c,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,tETH,64403376550000000,0.064403376550000000,5680.69,365.86,0.021983705220281934,,0.55,2025-09-13T00:20:35
0x25d21c4e6b88a8d9b204674013f5b4c1db22644f3e38bd0223bb76d3aa00c5b1,0x44443cf6e3551109746b42150336c513e6e08e9b,ethereum-mainnet,ronin-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,410000000,410,0.999795,409.92,0.020899023747727192,,0.52,2025-09-13T00:29:35
0x6bcc97ec9bd363ec0719452a261d0ef42c90379e8ee2b6114cc62d5503e614da,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.021053619977178261,,0.53,2025-09-13T00:41:59
0xa1c6a17073ccc523ad4a0ae734562d668d550241aff45d2308dcd71e4735216e,0x6d7ac63aaa7ba8925dcb3e44be6355261dcf688f,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,syrupUSDC,44474090167,44474.090167,1.12,49810.98,0.021981728798907280,,0.55,2025-09-13T00:59:11
0xb523afef9d1f5ffe1c39e7f70d7fdec14cf4a0cec59c2aa1654e9c7d575fb53a,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,ethereum-mainnet-base-1,0x514910771af9ca656af840dff83e8264ecf986ca,LINK,374466165000000000000,374.466165000000000000,24.94,9339.19,0.021074771451491777,,0.53,2025-09-13T01:01:47
0x6f14e634663e915b3aa375c1ae618f4292f0c17c1ab48b5b9fc327f4b722f6a6,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,50000000000000000,0.050000000000000000,4683.21,234.16,0.020899288560494604,,0.52,2025-09-13T01:35:59
0xe72524ba110b1e43566d016a9cf2b0bcad2e1d7b5efdc8d0dc0cac9066e8aafd,0x6d7ac63aaa7ba8925dcb3e44be6355261dcf688f,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,syrupUSDC,95506898581,95506.898581,1.12,106967.73,0.021978660190368888,,0.55,2025-09-13T01:49:35
0x064d0908806f8d91db4148c2a40f739523a9f726c0f3ef88c1d9b2c35f6322cc,0x4af1e335df2121d796a1f9798dd636b1b5fcce51,ethereum-mainnet,sonic-mainnet,0xdd4c6fd31ccf66e250790643947675153c221a91,xSILO,144361274706722480607,144.361274706722480607,0.065253,9.42,0.021225437027750888,,0.53,2025-09-13T01:53:47
0x9f425216120e498bc49e534dfe3c8257f28a521003890c99f627642e95119b55,0x5ace925715b417173ce25d4bf77b2fb463a75b14,ethereum-mainnet,ethereum-mainnet-base-1,0xdbb5cf12408a3ac17d668037ce289f9ea75439d7,WMTX,11533744598,11533.744598,0.245938,2836.59,0.020918294560057279,,0.52,2025-09-13T02:37:35
0x04f9153c971b76cc72c58521c3f366f4bccceca754ae74443614341b6ddfcf9b,0x06549275e6201756e5f1b611eb7986e493ed3885,ethereum-mainnet,avalanche-mainnet,0x68749665ff8d2d112fa859aa293f07a622782f38,XAUt,1449503,1.449503,3640.22,5276.51,0.062683183304617016,,1.56,2025-09-13T02:56:47
0x2444e10bdd0e2603cd8f5d81abf313483abe39938d815caefb610ce07bfcdcce,0x023fa838682c115c2cfba96ef3791cb5bd931fc7,ethereum-mainnet,binance_smart_chain-mainnet,0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,uniBTC,199980000,1.99980000,115526,231028.89,0.022535400215412543,,0.56,2025-09-13T02:57:59
0x682b8ae154b090463619afca1d2c2c52306b20313638a41405fd385218c24c97,0x099f52b74dfe2435a93b74872dd695eae80e57e2,ethereum-mainnet,polygon-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1000000,1,0.999795,1.00,0.020967639043699984,,0.52,2025-09-13T02:58:23
0x6373fd47ea62a5a4dba588079e214ad2175f988de7aa9ef267578cedd81d36bc,0xeeea21c9ea71ea9d0c8ba2e71dc486b45b296dbe,ethereum-mainnet,binance_smart_chain-mainnet,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,WLFI,1200000000000000000000,1200,0.221737,266.08,0.022907671469673607,,0.57,2025-09-13T03:03:11
0xcc5c1d57deff18a64f495a9a19211809850c991510a6a6439dec81ee1828f006,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,polygon-mainnet-katana,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,483100,0.00483100,115980,560.30,0.020060857787772311,,0.50,2025-09-13T03:10:59
0x7ec34e3ac2c1b59c2f2968392218be19c93dbf87b5a3ca4ddc7a3a5d02338334,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,avalanche-mainnet,0x68749665ff8d2d112fa859aa293f07a622782f38,XAUt,777125,0.777125,3640.22,2828.91,0.060839993552650184,,1.52,2025-09-13T03:12:35
0xf29efbdf47cf68fa38cee1ffbce8d8435cd2e89e51eaaabc2cdd5f08b8c3a241,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,ethereum-mainnet,avalanche-mainnet,0x68749665ff8d2d112fa859aa293f07a622782f38,XAUt,687167,0.687167,3640.22,2501.44,0.060839993552650184,,1.52,2025-09-13T03:22:23
