transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInUSD,blockTimestamp
0xf12dc1e21e0e248d0c8afdc6fd29752d4938e7b400dca79a452d71da5b4a2653,0xada5159d96dd9caaae657a6c44168e929cc0b17e,ethereum-mainnet,ronin-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,113080109,113.080109,0.999739,113.05,0.020499125409844037,,0.48,2025-08-29T00:25:11
0x2062c671f315f9ed9b78997da810e3080273bd287007059133bbeb504b605ac7,0x38b762fc4d538efd9addefd4f6dae8472ffd9b74,ethereum-mainnet,polkadot-mainnet-astar,0xf27441230eadeac85b764610325cc9a0d7859689,ASTR,40520000000000000000000,40520,0.0239328,969.76,0.022036339096527073,,0.52,2025-08-29T00:29:59
0x8d7441cfbb259dc8c4c9fd7d160b6cc78a0afab0991d85170bf128a24670d466,0x15cafc531f51dfc3908a7b86de16352c750fd7a4,ethereum-mainnet,binance_smart_chain-mainnet,0x6c76de483f1752ac8473e2b4983a873991e70da7,BTR,4155986973640171583118,4155.986973640171583118,0.070259,292.00,0.021983158467217545,,0.52,2025-08-29T00:31:23
0xb1f8f5713a602b68fb4e21d2b5ce2ba262f545ee6a8a808dd29acf4f10563b2d,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,ethereum-mainnet-base-1,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,90000,0.00090000,108367,97.53,0.020522440355720872,,0.48,2025-08-29T00:31:35
0xbb345ebf8a47da83455e9aa4c8fcdd91530bb8eb969ef8ca43c758cfea9e6b5b,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.020489443590669232,,0.48,2025-08-29T00:36:23
0x9fa3b4d973fabfe97d3eb29c597fbca42881b77e743645cd56a392011a703bcc,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,ethereum-mainnet-base-1,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,90000,0.00090000,108367,97.53,0.020522440355720872,,0.48,2025-08-29T00:37:59
0x73c74a700c44ec2f449ab6a16224225f911e43a5d7addbec7518dbe875539f95,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,ethereum-mainnet-base-1,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,90000,0.00090000,108367,97.53,0.020522440355720872,,0.48,2025-08-29T00:53:59
0xc06e25a11b6dde602a8729abdb65d2b559707fe6c52cf8732c03ed7e1d80fcce,0xaab44a9bb59ecb56a9fd124c9759db99cea88888,ethereum-mainnet,binance_smart_chain-mainnet,0x6e5970dbd6fc7eb1f29c6d2edf2bc4c36124c0c1,TRADE,680487543335053132978,680.487543335053132978,0.128839,87.67,0.021980957614845021,,0.52,2025-08-29T01:01:59
0x7208999d40797e70befb8d6d78f8e10a24991e16f4cd6a5052c30021d04778c8,0x4cbe437aa7a83457221d657207d78199ec330954,ethereum-mainnet,ronin-mainnet,0x95b4b8cad3567b5d7ef7399c2ae1d7070692ab0d,APRS,195846000000000000000000,195846,0.00377514,739.35,0.020499125409844037,,0.48,2025-08-29T01:19:35
0x53f89ebb97d1bc72faa83e8c044a62f87112c62ed42b288b18d7824ad0200221,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,polygon-mainnet-katana,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,793600,0.00793600,108367,860.00,0.020435693600049303,,0.48,2025-08-29T01:24:59
0xcc4206ee5071f3a4979813d913f4cd6e30e2c7cfc0ce89b0be15f9eab4abced3,0x0c220bf3bbfb3714e4913d41212d349c92d36cb6,ethereum-mainnet,ethereum-mainnet-base-1,0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,uniBTC,200000000,2,108256,216512.00,0.020430428744176814,,0.48,2025-08-29T01:40:59
