transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInUSD,blockTimestamp
0x4b77f1ecb230845931261d81d9f46b5299714faa62dd3c52405da7aac9ba5b9d,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.024531061752010367,,0.53,2025-09-23T00:08:47
0x2ecb27641544c9bd37c871402cc987cb1c8cfb33ddee42ed3b41ede74987a5ce,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.024531061752010367,,0.53,2025-09-23T00:18:11
0x30bff6c7aa991b02dfbfe0a0c8972380d2a702a8007ccfd0e9ae48c2716f30c9,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,ethereum-mainnet,avalanche-mainnet,0x68749665ff8d2d112fa859aa293f07a622782f38,XAUt,798121,0.798121,3771.35,3009.99,0.096498534588680573,,2.08,2025-09-23T00:18:59
0xb4b1970fe69fffe2192b621b7af6c5871fc55c58d25eb81391422c9b841c0e3e,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.024531061752010367,,0.53,2025-09-23T00:19:11
0x7365edd343b4033ecb832d47884e78746dfb29ea1ee7b8bb5e4af1788750890a,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,avalanche-mainnet,0x3d5f61a4bb385b6d1eb34f47aa790a996f1eba65,MYST,22257810206000000000000,22257.810206000000000000,0.03722247,828.49,0.048573021923729615,,1.05,2025-09-23T00:21:47
0x0213dd660db1c914a43ff907e06688ec608af6df5b95eecd3fd509f5e160912a,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,13550000000000000,0.013550000000000000,4164.42,56.43,0.022847056138546880,,0.49,2025-09-23T00:26:35
0x4302d8094382236369ab6d1bfa791006cefe483f0929c495a7d823500f8281d6,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.024531061752010367,,0.53,2025-09-23T00:39:23
0xce80534e2a346c3432c9fbe34ac6a9156bb055b1faaf70ef8cd3dad881ac484c,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.024531061752010367,,0.53,2025-09-23T00:42:11
0xa57669258b50285d2f85ab4a56116b12f701ff1eb1f0cdc1a173cc21af7ec431,0x4c930b1a7197b90f448fb7cf19236c2087a409f0,ethereum-mainnet,ronin-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,3644022,3.644022,0.999606,3.64,0.022846790369688681,,0.49,2025-09-23T00:56:11
0xc81039be19bf64f7f268496a98f66040295ca1151c4f55e1db374bd717961408,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,ethereum-mainnet,binance_smart_chain-mainnet,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,$PAAL,9045428703331,9045.428703331,0.052016,470.51,0.025849348607533209,,0.56,2025-09-23T01:00:47
