transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInW0G,feeInAPT,feeInUSD,blockTimestamp
0x68356e34b40754cae28f6097c79c59ac494ac6cf11fa21ee3cf35401bb8b6d93,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,binance_smart_chain-mainnet,0x6e5970dbd6fc7eb1f29c6d2edf2bc4c36124c0c1,TRADE,8894614266000000000000,8894.614266000000000000,0.08451875394789064,751.76,0.035347489864493722,,,,0.61,2025-10-10T00:07:59
0x973013591523f295bfbed0ff21207e7490fbeeaaf24975925b951466196fb834,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,binance_smart_chain-mainnet,0x6e5970dbd6fc7eb1f29c6d2edf2bc4c36124c0c1,TRADE,17615689895000000000000,17615.689895000000000000,0.08451875394789064,1488.86,0.035347489864493722,,,,0.61,2025-10-10T00:12:59
0xedaa6a76fb5ec406e851b05046c07d499a06ebb11ec986741850fd9a3e8a1299,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,20447744695815097,0.020447744695815097,3837.9945202728395,78.48,0.030657789447716886,,,,0.53,2025-10-10T00:17:35
0x5aefcf26fa84f8e10eaf95217e67f789a4cb205ea30d7ee8f0b5c8f0e9cf3557,0xaab44a9bb59ecb56a9fd124c9759db99cea88888,ethereum-mainnet,binance_smart_chain-mainnet,0xd55c9fb62e176a8eb6968f32958fefdd0962727e,FHE,2268332894776889422614,2268.332894776889422614,0.027642027808032484,62.70,0.035347489864493722,,,,0.61,2025-10-10T00:24:11
0xfcc2680f2ecd288c8ee19be6d0741aa9783a2eec57b531094a60545cc738e99c,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,ethereum-mainnet-base-1,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,1100000,0.01100000,112969.40132525956,1242.66,0.031155654207017103,,,,0.54,2025-10-10T00:42:23
0x866f37954c47ca8ceaabc83f7c39622be12bc46d6b91fcac7354ae0b5aad80ad,0x5d53bca5bca263fde62d1a60e5aeba267fd1450a,ethereum-mainnet,polkadot-mainnet-astar,0xf27441230eadeac85b764610325cc9a0d7859689,ASTR,200000000000000000000,200,0.017955979197719137,3.59,0.032832487618452887,,,,0.57,2025-10-10T00:50:59
0xeea3e08477d5cc54bdb9effca8a2a33798fb3a154e7623a24046a9adcc15c697,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.033315520019612653,,,,0.58,2025-10-10T01:59:59
0x4d800cf76cf2b4f48e2593537893b06a0a555f788e66eadf43653166b0e5d969,0x32cd32b45277bf025c1df7bb4388e6a412b77fe5,ethereum-mainnet,berachain-mainnet,0x0f81001ef0a83ecce5ccebf63eb302c70a39a654,DOLO,2978469210810000000000,2978.469210810000000000,0.07369359838533004,219.49,0.030404647502776171,,,,0.53,2025-10-10T02:34:11
0xe07f7050e4b4bef65a242fa641e6894704e12aa70a778d404aedfad08320cd29,0xa521e425f37acc731651565b41ce3e5022274f4f,ethereum-mainnet,sonic-mainnet,0xf0b2dd79324a66d2108c961d680f7616e1486bb0,SILO,857143000000000000000000,857143,0.01900195795460221,16287.40,0.030949354012282135,,,,0.54,2025-10-10T02:40:23
0xd91d6e361795b8c0b4b2ad0fd47a37d876b0f50dc4b7c7dfc4b1f60d246fe0c5,0x9fdc6c51ac273637ead71b34e031c4e6b52bc57b,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,15524000000000000000000,15524,0.9953888461202395,15452.42,0.033673663322602486,,,,0.58,2025-10-10T02:44:47
0x7d114afc47effd17ed04bd2a30cc778a6b26241cde386448b0ec213e170f7bfc,0x6be164af10879a86e4643089638b6864ef12b1ee,ethereum-mainnet,plume-mainnet,,,,,,,0.033820523965374966,,,,0.59,2025-10-10T02:54:59
0xd9968add6ee28f77344954e4b85fe350524784b17009723c51e9e5bca2102ec5,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,binance_smart_chain-mainnet,0x6c76de483f1752ac8473e2b4983a873991e70da7,BTR,1285539744000000000000,1285.539744000000000000,0.05381748151755593,69.18,0.035351935595281374,,,,0.61,2025-10-10T02:56:11
0xe30b4cab2806fa294563044864802f4b18d033148e299fb7baa9df34492f28de,0xbb23f2c8723b39bd8d4f0b18c96ad7e9f0f20947,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,5000000000,5000,1.0000006943030497,5000.00,0.032536550044914805,,,,0.56,2025-10-10T03:01:23
0xb37cc62d3f0417f78147f66f2acea50f313988942b7a98acd8650917e405f43f,0xa37e29bca0c50d971efec550c0195f7f39e3678b,ethereum-mainnet,binance_smart_chain-mainnet,0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d,USD1,47000000000000000000,47,0.9996890397722511,46.99,0.033925404163504105,,,,0.59,2025-10-10T03:09:35
0x4372b9fe0c9b99a401c687e1a8560aec5964065ae58768aa326a946e2f4250c0,0xe08da0d972b74581ec77a3c988e47d6e56bfbb7d,ethereum-mainnet,sonic-mainnet,0xf0b2dd79324a66d2108c961d680f7616e1486bb0,SILO,182040000000000000000000,182040,0.01900195795460221,3459.12,0.031004446427501744,,,,0.54,2025-10-10T03:33:23
0xb5f19dd8c4881253c53b1d99d99f0507e9e0d3e7f434cc3639a182b0c56c28b1,0x7bba7524ee1d35efcafa206a52a09df04a3bb8f3,ethereum-mainnet,avalanche-mainnet,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,44876827243173654846408,44876.827243173654846408,0.9987025982069945,44818.60,0.032759862903402617,,,,0.57,2025-10-10T03:37:35
0x318f8f5f4fc5bebf43b6c5e3f8f76ddfbc66dab7dd6c5a91723f314bcdcebf5f,0xd5315a93a2d4c2b9802acccb0bccaf995a2a65e1,ethereum-mainnet,ronin-mainnet,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,SLP,2609,2609,0.0012095511172225272,3.16,0.030507949539201360,,,,0.53,2025-10-10T03:48:35
0x49b28f42e43c184bfb99f14b4f6e1a549666a47e16d96c6b91c73b3c96a71f86,0xbf77d278d1e61f1978373938b67797b6e4c97e9f,ethereum-mainnet,ethereum-mainnet-base-1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,150000000000,150000,1.0000006943030497,150000.10,0.033053662149670746,,,,0.57,2025-10-10T03:57:35
0xe61f5ce9db55c19622b3d11433710ea407c3b56e1b759c9d49fb1f900ba503fd,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.033665592417814562,,,,0.58,2025-10-10T04:00:59
0x14cb756eb50c207eb8e90ffeabe6460a988d7d8ebc56ba09ee422c858270fe81,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,ethereum-mainnet-base-1,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,706700,0.00706700,112969.40132525956,798.35,0.034277175926004856,,,,0.59,2025-10-10T04:25:23
