transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInUSD,blockTimestamp
0x6fcb40ed1556bd2da7adfb97e927b05e13ab1629cade388f459ede2de5fc1834,0x3488d35b470735a3a90e1c13cea5d1041c89c23f,ethereum-mainnet,ethereum-mainnet-base-1,0x8fe815417913a93ea99049fc0718ee1647a2a07c,XSWAP,26175944369718751057732,26175.944369718751057732,0.03840963,1005.41,0.021468200447254979,,0.50,2025-09-02T00:28:59
0x774c038329589fec0ecb11255948d1d8efe29039453d7b8589bca21f13bd2ea2,0xa1ededd1baee8a5d638e6387b29df14b71ad3bc7,ethereum-mainnet,binance_smart_chain-mainnet,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,WLFI,691861662738666666666,691.861662738666666666,0.22712,157.14,0.023423790351134500,,0.55,2025-09-02T00:31:11
0x060100fd7bec053d267f4cc74ed54557c09a6ef1af3fdd0644e24076c10f7269,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,63438200000000000000,63.438200000000000000,4325.94,274429.85,0.021544508195851630,,0.51,2025-09-02T00:38:35
0xafe626455501ae1d41ff3fe52390841906b3658eec113621a723ea75095e4c5a,0x1935fe5b1d786f950bab919d9c6263516b71c072,ethereum-mainnet,binance_smart_chain-mainnet,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,WLFI,976591080000000000000,976.591080000000000000,0.22712,221.80,0.023423790351134500,,0.55,2025-09-02T00:38:59
0xd286500a25ff90d7a0212855915b4c0182cbeba7cec560aa1fff1232c6acba0a,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.021511925453640807,,0.51,2025-09-02T00:43:11
0xfffa8a4ad7c3155208c9dc9107ff7f9ad80f4fafbbfb469f200d5d6e5ff769fe,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,polygon-mainnet-katana,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,300139700,3.00139700,111195,333740.34,0.021447049014716855,,0.50,2025-09-02T00:56:35
0xc351936e38062c30ab0407e3c768fd881a1a2374372d0d65db794ef123504c04,0x818566e881e762beac64dc32f81ffc380680251a,ethereum-mainnet,binance_smart_chain-mainnet,0x8238884ec9668ef77b90c6dff4d1a9f4f4823bfe,USDO,2000000000000000000,2,0.997282,1.99,0.023052852148489067,,0.54,2025-09-02T01:15:59
0x70388c14af1277f2aba719f32a6201f508c6dc791cb8b41995f45ecee478f66b,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,ethereum-mainnet-base-1,0x8fe815417913a93ea99049fc0718ee1647a2a07c,XSWAP,22325159136000000000000,22325.159136000000000000,0.03840963,857.50,0.021521375950167305,,0.51,2025-09-02T01:16:59
0xf1b2c6c7e6313c8f968165a26f9621ca1b854a7770dc6f0a2c7d689dc8f21e29,0xeb48a1ee43b91959a1686b70b7cd482c65de69c9,ethereum-mainnet,avalanche-mainnet,,,,,,,0.022207970768599872,,0.52,2025-09-02T01:33:11
0x52c02b2608bba335260b131294a93250b58e817686e562225e0fd1cb4f689542,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,5855704768480434716672,5855.704768480434716672,0.02606946,152.66,0.021635330767806198,,0.51,2025-09-02T01:37:35
