transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInW0G,feeInAPT,feeInUSD,blockTimestamp
0x6573bc80cb8b2747cdfa682595cf41b06e5c3427a6ef84c77c05abafb06d37a1,0x689b7093a5f092faafbb9d51ec0ea4b10beba0bf,ethereum-mainnet,ethereum-mainnet-ink-1,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,70008700000000000000000,70008.700000000000000000,0.9994352658836252,69969.16,0.041252214263683327,,,,0.49,2025-12-18T00:00:35
0xce37e92890607fdd8d36bb5df2423cc825165f7f71d17b8f9d7a28b005d822c2,0x777b1b4e79058778f8362a3dc53ee90f35934e8e,ethereum-mainnet,ethereum-mainnet-arbitrum-1,,,,,,,0.047894587631130733,,,,0.57,2025-12-18T00:03:35
0xce37e92890607fdd8d36bb5df2423cc825165f7f71d17b8f9d7a28b005d822c2,0x777b1b4e79058778f8362a3dc53ee90f35934e8e,ethereum-mainnet,ethereum-mainnet-arbitrum-1,,,,,,,0.047894587631130733,,,,0.57,2025-12-18T00:03:35
0xce37e92890607fdd8d36bb5df2423cc825165f7f71d17b8f9d7a28b005d822c2,0x777b1b4e79058778f8362a3dc53ee90f35934e8e,ethereum-mainnet,ethereum-mainnet-arbitrum-1,,,,,,,0.047894587631130733,,,,0.57,2025-12-18T00:03:35
0xce37e92890607fdd8d36bb5df2423cc825165f7f71d17b8f9d7a28b005d822c2,0x777b1b4e79058778f8362a3dc53ee90f35934e8e,ethereum-mainnet,ethereum-mainnet-arbitrum-1,,,,,,,0.047894587631130733,,,,0.57,2025-12-18T00:03:35
0x9cc5f0255eb55247576cf5ac7961a66a1199753af33c604125eaad630918915a,0xa913b7666d2b554c6bacd3c4f4875dade813baba,ethereum-mainnet,ethereum-mainnet-ink-1,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,50005800000000000000000,50005.800000000000000000,0.9994352658836252,49977.56,0.039760537558164978,,,,0.48,2025-12-18T00:10:23
0x06c1561143d040b1851930aa4856351d79e154a0f57b7469c563206721409930,0xd15e62e64c1265dfb753ed6e7c76cb5ff8f276c7,ethereum-mainnet,ethereum-mainnet-base-1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,23480002347,23480.002347,0.9997651839156217,23474.49,0.041642404534052414,,,,0.50,2025-12-18T00:14:59
0xcaa058e1c371be8e7486285f28efbc83c5e8db5d7a3ecdb63db5fae0800c6b3b,0xc090e88bdaa823b7c1dd8d9e24cbacb0f35f2675,ethereum-mainnet,kaia-mainnet,,,,,,,0.042174268708774026,,,,0.50,2025-12-18T00:18:23
0x8ebcc507d6ed9e252f5f6ab5ab05711dfc74b7093c5eb09532cde2284550cdc4,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.041732253482929096,,,,0.50,2025-12-18T00:21:47
0xeeb896a7009ecada2ccc20eeeb7e561cce36ae147072c4c6e8a5a7083e52dc16,0xe69f81b825d7dc31ee9becef4dbeab5cf30e3abb,ethereum-mainnet,ronin-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1230000,1.230000,0.9997651839156217,1.23,0.070191004979898039,,,,0.84,2025-12-18T00:22:59
0xcb0941cfbe3051cbcf3e73846784612a3af01266acb0ce9c2d204b3b1f034cee,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.041732253482929096,,,,0.50,2025-12-18T00:29:11
