sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInUSD,blockTimestamp
0xaf5b28b947ee8f7729fb7534cb34970cf8666660,binance_smart_chain-mainnet,ethereum-mainnet,0xb3b02e4a9fb2bd28cc2ff97b0ab3f6b3ec1ee9d2,USDf,100000000000000000000,100.0,0.998126,99.81,0.1009352898295311,,2.19,2025-09-29T01:08:37
0xf5c299316699131d29adcb7ef87af8e97bbc7ead,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,3307229199207449647804,3307.2291992074497,0.053032,175.39,0.0123069764748479,,0.27,2025-09-29T01:17:01
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,3949357870224138829824,3949.3578702241384,0.053032,209.44,0.0123069764748479,,0.27,2025-09-29T01:17:03
0xca74f404e0c7bfa35b13b511097df966d5a65597,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,15123000000000000000000,15123.0,0.053032,802.0,0.0123069764748479,,0.27,2025-09-29T01:18:37
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,4544031740787579420672,4544.031740787579,0.053032,240.98,0.0123069764748479,,0.27,2025-09-29T01:18:49
0xf5c299316699131d29adcb7ef87af8e97bbc7ead,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,3299929316563087115120,3299.929316563087,0.053032,175.0,0.0123069764748479,,0.27,2025-09-29T01:20:01
0xf5c299316699131d29adcb7ef87af8e97bbc7ead,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,3300244921582338050280,3300.244921582338,0.053032,175.02,0.012202255275713,,0.26,2025-09-29T01:34:53
0xca74f404e0c7bfa35b13b511097df966d5a65597,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,42686455603000000000000,42686.455603,0.053032,2263.75,0.012202255275713,,0.26,2025-09-29T01:35:00
0xe83f75907fb4c575414fa6f5cfe8cef24dc5870c,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,46243028445157541281792,46243.028445157535,0.053032,2452.36,0.012202255275713,,0.26,2025-09-29T01:36:18
0xca74f404e0c7bfa35b13b511097df966d5a65597,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,16062336538000000000000,16062.336538,0.053032,851.82,0.012202255275713,,0.26,2025-09-29T01:36:21
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,19086574681789794979350,19086.574681789796,0.053032,1012.2,0.012202255275713,,0.26,2025-09-29T01:37:17
0xf5c299316699131d29adcb7ef87af8e97bbc7ead,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,3288093251704064062912,3288.093251704064,0.053032,174.37,0.0122196177665927,,0.27,2025-09-29T01:55:24
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,10054320550650230865920,10054.32055065023,0.053032,533.2,0.0122196177665927,,0.27,2025-09-29T01:55:27
0xca74f404e0c7bfa35b13b511097df966d5a65597,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,25123000000000000000000,25123.0,0.053032,1332.32,0.0122196177665927,,0.27,2025-09-29T01:55:50
0xf5c299316699131d29adcb7ef87af8e97bbc7ead,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,3354838270647963750159,3354.838270647964,0.053032,177.91,0.0122196177665927,,0.27,2025-09-29T01:58:02
0xaab44a9bb59ecb56a9fd124c9759db99cea88888,binance_smart_chain-mainnet,solana-mainnet,0xa2be3e48170a60119b5f0400c65f65f3158fbeee,ZEUS,7408624300,7408.6243,0.103211,764.65,0.016827817213033,,0.37,2025-09-29T00:04:18
0xaab44a9bb59ecb56a9fd124c9759db99cea88888,binance_smart_chain-mainnet,solana-mainnet,0xa2be3e48170a60119b5f0400c65f65f3158fbeee,ZEUS,7381996200,7381.9962,0.103211,761.9,0.016827817213033,,0.37,2025-09-29T00:06:45
0xaab44a9bb59ecb56a9fd124c9759db99cea88888,binance_smart_chain-mainnet,solana-mainnet,0xa2be3e48170a60119b5f0400c65f65f3158fbeee,ZEUS,7455582400,7455.5824,0.103211,769.5,0.0167030660309015,,0.36,2025-09-29T00:22:52
0x06549275e6201756e5f1b611eb7986e493ed3885,binance_smart_chain-mainnet,solana-mainnet,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,AITECH,9621990000000000000000,9621.99,0.03183781,306.34,0.0167000921977406,,0.36,2025-09-29T01:45:37
0x46b9ee8e0eb0fb4163073ccc984446dd8ff79781,binance_smart_chain-mainnet,solana-mainnet,0x47474747477b199288bf72a1d702f7fe0fb1deea,WLFI,1000000000000000000,1.0,0.20043,0.2,0.0166819120598961,,0.36,2025-09-29T02:00:22
0x53561bcfe6b3f23bc72e5b9919c12322729942e8,binance_smart_chain-mainnet,ethereum-mainnet,,,,,,,0.049075286531103,,1.07,2025-09-29T02:05:39
0xe83f75907fb4c575414fa6f5cfe8cef24dc5870c,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,16142509425155708551168,16142.509425155708,0.053032,856.07,0.0122189301772015,,0.27,2025-09-29T02:06:55
0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0xbb1b031c591235408755ff4e0739cb88c5cf2507,$PAAL,6000000000000000000000,6000.0,0.053032,318.19,0.012074906146854,,0.26,2025-09-29T02:31:36
0x7e8fbbdef68a2a965646fb95847fd8773cd2afc5,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,AITECH,2396679583512448729088,2396.679583512449,0.03183781,76.31,0.0121550728751391,,0.26,2025-09-29T02:53:04
0x3488d35b470735a3a90e1c13cea5d1041c89c23f,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,AITECH,12270599816183649323890,12270.599816183649,0.03183781,390.67,0.0120803099559897,,0.26,2025-09-29T02:55:03
0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,AITECH,6000000000000000000000,6000.0,0.03183781,191.03,0.0120803099559897,,0.26,2025-09-29T02:58:00
0x04ce218ead72401702dd5f3e56cedb7d2d477777,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,AITECH,29821157865935285346006,29821.157865935285,0.03183781,949.44,0.0120803099559897,,0.26,2025-09-29T03:04:42
0x3488d35b470735a3a90e1c13cea5d1041c89c23f,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,AITECH,16109720651431632304847,16109.720651431631,0.03183781,512.9,0.0120803099559897,,0.26,2025-09-29T03:05:48
0x04ce218ead72401702dd5f3e56cedb7d2d477777,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,AITECH,30343252742067800402376,30343.2527420678,0.03183781,966.06,0.0120803099559897,,0.26,2025-09-29T03:06:17
0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,binance_smart_chain-mainnet,ethereum-mainnet-base-1,0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,AITECH,8000000000000000000000,8000.0,0.03183781,254.7,0.0120803099559897,,0.26,2025-09-29T03:06:42
