transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInUSD,blockTimestamp
0x238716d9e78d45312e2769a67b1c11f80bce009d4372c8fdf8236118cde4dcaf,0x04ce218ead72401702dd5f3e56cedb7d2d477777,ethereum-mainnet,avalanche-mainnet,0xa19f5264f7d7be11c451c093d8f92592820bea86,BYTES,403784170766051037468,403.784170766051037468,2.06,831.80,0.019447917171176873,,0.49,2025-08-28T00:01:35
0x3cb88eb2818e44b8073b6ee191f74a426ce276959c60b42934a245b771706e40,0xbe51ec7195a0047d3029c2864a0a1583878afaf2,ethereum-mainnet,bitcoin-mainnet-bitlayer-1,0x2cd3cdb3bd68eea0d3be81da707bc0c8743d7335,YBTC.B,87500,0.00087500,112519,98.45,0.064564007915620475,,1.63,2025-08-28T00:08:47
0xaea61b162668e2b03975a5e4a509fb0425c2a07037753a28295675f4213016c7,0x2bf03f3a6a47726f7b9043703027b31b294a8c1f,ethereum-mainnet,bitcoin-mainnet-bitlayer-1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,20213286,20.213286,0.999812,20.21,0.064564007915620475,,1.63,2025-08-28T00:10:35
0x7133f490faf4967f5098f20543ef81a1f19fe98aee2ffe8149d1e340ba7e19b5,0x777b1b4e79058778f8362a3dc53ee90f35934e8e,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.021223123593189869,,0.53,2025-08-28T00:11:47
0x7133f490faf4967f5098f20543ef81a1f19fe98aee2ffe8149d1e340ba7e19b5,0x777b1b4e79058778f8362a3dc53ee90f35934e8e,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.021223123593189869,,0.53,2025-08-28T00:11:47
0x7133f490faf4967f5098f20543ef81a1f19fe98aee2ffe8149d1e340ba7e19b5,0x777b1b4e79058778f8362a3dc53ee90f35934e8e,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.021223123593189869,,0.53,2025-08-28T00:11:47
0x7133f490faf4967f5098f20543ef81a1f19fe98aee2ffe8149d1e340ba7e19b5,0x777b1b4e79058778f8362a3dc53ee90f35934e8e,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.021223123593189869,,0.53,2025-08-28T00:11:47
0x5418eec5639832438eea00b49aaab908ee27d7539ae4c2b4244128f2ef422f10,0x7ace867b3a503c6c76834ac223993fbd8963bed2,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,10224610178316612750087,10224.610178316612750087,0.03283237,335.70,0.019260355099071130,,0.49,2025-08-28T00:33:35
0x5418eec5639832438eea00b49aaab908ee27d7539ae4c2b4244128f2ef422f10,0x7ace867b3a503c6c76834ac223993fbd8963bed2,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,10224610178316612750087,10224.610178316612750087,0.03283237,335.70,0.019260355099071130,,0.49,2025-08-28T00:33:35
0x5418eec5639832438eea00b49aaab908ee27d7539ae4c2b4244128f2ef422f10,0x7ace867b3a503c6c76834ac223993fbd8963bed2,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,10224610178316612750087,10224.610178316612750087,0.03283237,335.70,0.019260355099071130,,0.49,2025-08-28T00:33:35
