transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInUSD,blockTimestamp
0x0f79c2e827f2050da81b96f8e35fb01970b37c0ea7e6abc95654c8f6544a171e,0xc5f63cbbd6dd02112c9d96f4af2e7619cd9e3c14,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.080503751141873692,,1.74,2025-09-28T00:11:59
0x13eff90640c8a085db5133bd6125b4dda6244fd1676596ed061a0d2399670f25,0xfd7284bdb90f0f66ebd162ccb4633076e09efa34,ethereum-mainnet,ronin-mainnet,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,AXS,18188728401600000000000,18188.728401600000000000,2.17,39469.54,0.024207776445462185,,0.52,2025-09-28T00:30:23
0x14ee91b7389f60775b7d4900036298ba2de21f27e3bc1c476d12bc41a8f67065,0xd3088974784cfa3b4e7938f28f16345eeff8036b,ethereum-mainnet,binance_smart_chain-mainnet,0x6c76de483f1752ac8473e2b4983a873991e70da7,BTR,393993529850750000000000,393993.529850750000000000,0.091131,35905.02,0.026201189189349043,,0.57,2025-09-28T00:30:35
0x4baf35ee61c66cfb2d8e91642d07322d80487072d2c5bad2d72823a2bdeca26a,0xf30d7e22a3139b53940f68397e88958a4153b95d,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,2120248371952142965314,2120.248371952142965314,5.98,12679.09,0.025252237304106265,,0.55,2025-09-28T00:33:35
0xc7babe4357b3f513b6110d9989872d208b589d91fa8ee56bbbdfb581cca04060,0x70c69520eb6595d102bfd8aed8fc58428489c4e4,ethereum-mainnet,ethereum-mainnet-base-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,1200000000000000000000,1200,5.98,7176.00,0.024229207104128840,,0.52,2025-09-28T00:36:59
0x546db081b594833d5c7e817c678360dae9a63c41336c56752653aad88768410f,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,ethereum-mainnet-base-1,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,$PAAL,8507633018000,8507.633018000,0.04949796,421.11,0.024343956242223304,,0.53,2025-09-28T00:45:47
0x0c2b09f5e1c4ca609505b4e23c66408403f4637449e4d45e46684e55eafcb8f2,0x4a0904e50d759a9d70db078a2249ce638caeaa2e,ethereum-mainnet,sonic-mainnet,0xdd4c6fd31ccf66e250790643947675153c221a91,xSILO,1113559084007233152586,1113.559084007233152586,0.02489779,27.73,0.024478558239043990,,0.53,2025-09-28T00:47:47
0x9963b01c6557aa3606824bdb782e5eaf337139c4cfb25ee651d3c2b2fc3e5199,0x7e8fbbdef68a2a965646fb95847fd8773cd2afc5,ethereum-mainnet,ethereum-mainnet-base-1,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,$PAAL,3320037279107,3320.037279107,0.04949796,164.34,0.024343956242223304,,0.53,2025-09-28T00:51:35
0x83338224704539924dbfcf21fe31557abff719d327d0fb6cd302e7e1090d4663,0xf557534ff4351c3bce7e5f0916a9735453df8bbd,ethereum-mainnet,avalanche-mainnet,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,4999487183148861300731,4999.487183148861300731,1.003,5014.49,0.024486729232811897,,0.53,2025-09-28T00:56:23
0xecbb4c6919779a382f77cb157758d8d44a730c3855647950f9ae9c6f96d1bf84,0xf30d7e22a3139b53940f68397e88958a4153b95d,ethereum-mainnet,ethereum-mainnet-base-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,2163734660602419977688,2163.734660602419977688,5.98,12939.13,0.024229207104128840,,0.52,2025-09-28T01:06:35
0x6b98ee970376c89b7224f442e18c11a6bf246ff58e7de108ed6188e8468036a2,0x70c69520eb6595d102bfd8aed8fc58428489c4e4,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,1400000000000000000000,1400,5.98,8372.00,0.025252237304106265,,0.55,2025-09-28T01:12:11
0xf258297cd6fb52baa1ddfa1da71a9134a0c6c4f7adb30f2315613ef201bcbd11,0x70c69520eb6595d102bfd8aed8fc58428489c4e4,ethereum-mainnet,ethereum-mainnet-base-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,1439530000000000000000,1439.530000000000000000,5.98,8608.39,0.024229207104128840,,0.52,2025-09-28T01:12:35
0x066771edda524ae8eebb54b1ddbdd2616740aa05e43fc7c923b4023c5efbb631,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.024341101913590825,,0.53,2025-09-28T01:24:23
