transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,totalValue,feeInLink,feeInUSD,feeInSol,blockTimestamp
0x0e41bbb9994f97011e13c9389de4332ead263c875b5a1f1b10a80c45f9a67b74,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,20000000000000000000,20,4072.43,81448.60,0.020312047326584551,0.48,,2025-08-19T00:07:35
0xd84449b2c6b1bc11711b479c51d0d529266c8f23eb1e05c1b0e78f030111c22c,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,binance_smart_chain-mainnet,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,PAAL,8415625243000,0.000008415625243,0.09354,0.00,0.022338140490108037,0.53,,2025-08-19T00:26:59
0xf0d36af8dcc6447957b2d2465b8fdf1ecc1ec5e988a4f8286c33bdda4b74163d,0x04ce218ead72401702dd5f3e56cedb7d2d477777,ethereum-mainnet,avalanche-mainnet,0xa19f5264f7d7be11c451c093d8f92592820bea86,BYTES,763297848233513378598,763.297848233513378598,2.68,2045.64,0.020525561055134992,0.48,,2025-08-19T00:31:11
0xfcf93fd8e1fe81b6f1b3a6ea183b176fcc1cafa13cc1c2811028f23d659ee48d,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,binance_smart_chain-mainnet,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,SDT,718480090000000000000,718.48009,0.45122,324.19,0.022526610259679440,0.53,,2025-08-19T00:44:11
0xcecbba3e2d49afc050aa82578d110f99b5e987d1993314623b9e2cef0da9b9c8,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,avalanche-mainnet,0xa19f5264f7d7be11c451c093d8f92592820bea86,BYTES,314017331000000000000,314.017331,2.68,841.57,0.020736516873580507,0.49,,2025-08-19T00:44:35
0xb0c69fb94ab6768757b67e06dec8e4012fa521831f1fe8fb710575c96c56beb8,0xd77e2349ae278259480aede9745d9678afb5c956,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,36430000000000000000,36.43,4072.43,148358.62,0.020311787925438966,0.48,,2025-08-19T01:01:59
0xaba76a5c873d5310d5b74eeb83d13a71bbe91543afba88efc58e920e01d2e35c,0xfea8f729624394cda963a26041b258a70dd2cac5,ethereum-mainnet,wemix-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,880930000,880.93,0.999789,880.74,0.021592583616820146,0.51,,2025-08-19T01:09:23
0x6c4fd03bd25406f41cc3c5029314340ff10060dcdc1273dc2cf9378aa9a6a2b4,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,227610000000000000000,227.61,4072.43,926925.79,0.020312047326584551,0.48,,2025-08-19T01:12:11
0xcf95e1d1ae243d5de9a97bc00d9599c8865be0c596503de050b2b7e80c0769df,0x60de7ff4379931ca19f34e4bcdb6bab979a7da30,ethereum-mainnet,ronin-mainnet,0xae78736cd615f374d3085123a210448e74fc6393,RETH,33458622091485800159,33.458622091485800159,4634.5,155063.98,0.020311787925438966,0.48,,2025-08-19T01:13:11
0x5b1d8634884403cf4ccea60f4c5bb03f931fb98f4e2c4ec92b857c222bd357a4,0xdcd08f7bab070b20058c585ccd73af035e573076,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,800900000000000000000000,800900,0.999388,800409.85,0.021718792284265914,0.51,,2025-08-19T01:34:11
0x3cc013ae75d15ea46db2a58c062f4d8b76e67c3b349961d98c992b95154b8ac9,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,6777870003000000000000,6777.870003,0.01865541,126.44,0.020422088316055655,0.48,,2025-08-19T01:39:59
0xb1e03a2104e7034da8ea5c33e49450bdf542a7017cfb5820e5fff0289982aa5b,0x26add4ba554ed9270226ea78367b38a0ac0d4d25,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,400000000000000000000,400,0.999388,399.76,0.021718097429930756,0.51,,2025-08-19T02:03:35
