transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,totalValue,feeInLink,feeInUSD,feeInSol,blockTimestamp
0x9ad2dd2583bb2399a5db1980644fe03d0c20260227f48e67b5765d0bac352a64,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,665728358000000000000,665.728358,5.85,3894.51,0.021685168992689092,0.51,,2025-08-25T00:01:59
0x4e98617cd23cc8251f6b994af4c3a1442f6becd183a8d2d6d4b62268c58fbca0,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,4844786597000000000000,4844.786597,0.03551218,172.05,0.020061493129823062,0.47,,2025-08-25T00:03:23
0x4010d74e0c0fa24c48f00ef790f9ed34b475a7bf9bc08954f00bc6c9f16b3540,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,3326213084134219710464,3326.213084134219710464,0.03551218,118.12,0.020061493129823062,0.47,,2025-08-25T00:03:59
0xc2c227d795af2677b4e24f0212a268e9edc7802980d5656793d92896e9b220ab,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,4743345944000000000000,4743.345944,0.03551218,168.45,0.020061493129823062,0.47,,2025-08-25T00:05:35
0x1ee877108b0fb8f7695aad810f2a3bd13a493b4d5e057ba5262e309b9110eaa5,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,40985380424715602083988,40985.380424715602083988,0.03551218,1455.48,0.020061493129823062,0.47,,2025-08-25T00:06:23
0xeb8fd06cee9b15647ce7dd341571ffb682324b52d5381ce994cb53067c2b9d18,0xf30d7e22a3139b53940f68397e88958a4153b95d,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,1469687453132992623411,1469.687453132992623411,5.85,8597.67,0.021065379160711911,0.49,,2025-08-25T00:06:23
0x9073d75fd8297294af55e727cf77f2bf183fb38eea3fd3cf4bdc03b232baf8e9,0xf30d7e22a3139b53940f68397e88958a4153b95d,ethereum-mainnet,ethereum-mainnet-base-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,1468282789397118635212,1468.282789397118635212,5.85,8589.45,0.020003631957133210,0.47,,2025-08-25T00:07:47
0x8dcb8e34a42d9939b286368789fe80d104eb91d9e667aeab47f79e6c3b9804d3,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.020095884567893910,0.47,,2025-08-25T00:09:47
0xa206cd463fd8e07196f387ed9628ccacf2fb2dee2c50d3db4a033a15445cc417,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,4075525683000000000000,4075.525683,0.03551218,144.73,0.020061493129823062,0.47,,2025-08-25T00:14:47
0x7febdc8b4a33da20d314667ba5ae47e3b266c4068cd29f5a54ca46e8ba7f79e7,0x7e8fbbdef68a2a965646fb95847fd8773cd2afc5,ethereum-mainnet,polygon-mainnet,0x888888435fde8e7d4c54cab67f206e4199454c60,DFX,6666911824406401515520,6666.91182440640151552,0.03551218,236.76,0.020061493129823062,0.47,,2025-08-25T00:16:35
