transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,totalValue,feeInLink,feeInUSD,feeInSol,blockTimestamp
0x0c272bd05261511b446d519af2b2465f1e0ff5ef2ba0869fa9b9e259f942a975,0x13c8fbd91433ada1e689eda4d6ee82c05ff7aa46,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,2010000000000000000000,2010,0.999864,2009.73,0.021104188915096397,0.54,,2025-08-24T00:06:47
0x5c8e30dc89aa414c35d6e378231469ae5f195342d466ddc8c9783f7bd7e212be,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.020942028281884954,0.54,,2025-08-24T00:20:23
0x08c39b38640b391899ced5f2d16797571db7f06fa8835a20f03ddd4bfbc7db5d,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.020942028281884954,0.54,,2025-08-24T00:23:59
0x0ddf909c0456825b0b9eebe6541217f21053f3aae544a160570975d05da9e683,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.020942028281884954,0.54,,2025-08-24T00:24:35
0xa3f088bf64237b8d3954354a36345a0e555d408dc0cad6811c8a6ceb6d99c7f4,0x084caf1bf60e49aec07ec4148a3f1f0f57fd11eb,ethereum-mainnet,berachain-mainnet,0x0f81001ef0a83ecce5ccebf63eb302c70a39a654,DOLO,150666640400000000000000,150666.6404,0.289151,43565.41,0.019622657658714095,0.51,,2025-08-24T00:30:59
0x3663936df2a0d21c1f05b6329b60da5b5c3aff3b96183b04cdf391780307d967,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.020942028281884954,0.54,,2025-08-24T00:33:59
0x115a9074a0d3d5c978b292b6d13a80f9d4426a874e3e777f27d367d35ec1e465,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.021081420071607369,0.54,,2025-08-24T00:54:47
0x0a973621e39678c9dbde488284c6a991e982f2ad808e782182f6ce64dffdb805,0xf30d7e22a3139b53940f68397e88958a4153b95d,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,FLUID,1092629351857188883660,1092.62935185718888366,7.21,7877.86,0.020982655102804705,0.54,,2025-08-24T01:00:23
0xffcb3c96dbb6ba122dadef215614e6a5605908ffe8f674818223cb337be1bb0f,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.021081420071607369,0.54,,2025-08-24T01:07:23
0x533d1416627a203e044362a3a32f823b79f7ca39fd310fa90ed249656a473614,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.021081420071607369,0.54,,2025-08-24T01:11:35
