transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInW0G,feeInUSD,blockTimestamp
0xf19cf1819425a7a0da24fbb8d13491d05929fb69f8bb8d44d9ca8de611125f4b,0xa58586d535ee63e87013be53e832ed1e341be32f,ethereum-mainnet,ronin-mainnet,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,AXS,103000000000000000000,103,2.182081391065655,224.75,0.022734699791470775,,,0.50,2025-10-05T00:05:47
0x0b0c9b8a605d05007617cfc66d88081a53ba8863f0589e7b8a3fcccd5ad27b28,0xf70fe54c6523c6a8bbd05a93542536de02d6ed88,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,syrupUSDC,36701826173,36701.826173,1.128760238992423,41427.56,0.023862797117915488,,,0.53,2025-10-05T01:34:23
0x802cb94ff8ea301b1a24d1499e9bc243c9d559178dcfb7f080a147460c8cad3e,0xc5f63cbbd6dd02112c9d96f4af2e7619cd9e3c14,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.025397877817295255,,,0.56,2025-10-05T01:51:59
0x35e7ab2b9f6ae6c2666900266076091b13689715e7b25fa8f31d6e1501b33317,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,65089402449079349,0.065089402449079349,4515.9163421521625,293.94,0.022734960261069553,,,0.50,2025-10-05T02:41:47
0x6ced015aa0005eba3288e12bdb27b61ade91a54089136d1e4f7b84e274e0693e,0x7bba7524ee1d35efcafa206a52a09df04a3bb8f3,ethereum-mainnet,avalanche-mainnet,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,44252341156959499506453,44252.341156959499506453,0.9985849324210031,44189.72,0.023115391956314960,,,0.51,2025-10-05T02:47:47
0x5e2e83cac6653d61a2d1497289b06cfb4332f075264bc6f8c56df2c97fc4e114,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,100000000000000,0.000100000000000000,4515.9163421521625,0.45,0.022731696315219572,,,0.50,2025-10-05T03:09:23
0x1233f1ec17eecc49a3c7939fbce0d528c0ad5167070e3969f43db5771ebf6651,0xd3088974784cfa3b4e7938f28f16345eeff8036b,ethereum-mainnet,binance_smart_chain-mainnet,0x6c76de483f1752ac8473e2b4983a873991e70da7,BTR,100097059902210000000000,100097.059902210000000000,0.08661785997261826,8670.19,0.024458323143984904,,,0.54,2025-10-05T03:44:35
0x217734c3ba560a5ef1b6fa809c8c2e30177735b38d147ca780edf9cb6e3ded24,0x8533ac4f1664dc4dac5d3c5875152eafd3172485,ethereum-mainnet,bitcoin-mainnet-bob-1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,5000000000,5000,0.9997795333414338,4998.90,0.022335453881294112,,,0.49,2025-10-05T03:51:23
0x8cc1dcbb9d565ebac03fe1a60d9ad64686eee254e589746e9aa3a9f453653df4,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,200000000000000,0.000200000000000000,4515.9163421521625,0.90,0.022435493215887638,,,0.49,2025-10-05T04:00:59
0xfc896597f251b50fb73e511a71668435186d05423ad0e3a4c748786567d4194a,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.023081925364972715,,,0.51,2025-10-05T04:01:23
0xe718dccb82b5ad83ef32aaa618c35c7a1d74099d2db2884076be24c3ada90d56,0x568a9858cc70b90dd6f4be01916eeb50bbadc7f1,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,611999412597021955317973,611999.412597021955317973,0.9985849324210031,611133.39,0.026150174081361683,,,0.58,2025-10-05T04:28:59
0xbf45587e2e7de18afff9a69803c7863609be1917b7cf12b3959fc7ead57877b6,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.023081925364972715,,,0.51,2025-10-05T04:31:11
0xbf45587e2e7de18afff9a69803c7863609be1917b7cf12b3959fc7ead57877b6,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.023081925364972715,,,0.51,2025-10-05T04:31:11
0x45cea2237a4c196167943d4c1117d5540c0f78b3d6912b4ae02c688a6005c4fe,0x5ad62014ab3b1046bdbf81b31e8d8442956b2e34,ethereum-mainnet,binance_smart_chain-mainnet,0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d,USD1,50000000000000000000,50,0.9994924280319955,49.97,0.024625631998976463,,,0.54,2025-10-05T04:32:23
0x59a6e9ebd3da5b5feb7809d62182fd39d0451f6d37af00c4e235368d8534782e,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.023081925364972715,,,0.51,2025-10-05T04:36:59
0x59a6e9ebd3da5b5feb7809d62182fd39d0451f6d37af00c4e235368d8534782e,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.023081925364972715,,,0.51,2025-10-05T04:36:59
0xc8ec389384c2ace6922572f8cdcf91007a3400b302b2471b1640e9119cf2ab7a,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.023081925364972715,,,0.51,2025-10-05T04:37:47
0xe6407006581502b50e516f07a86123e376836e93b3b527d0f8092dac2f1781f0,0xac063f9dd48bea718fce1ca9d4044e175bfdbb36,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,1412597021955317973,1.412597021955317973,0.9985849324210031,1.41,0.026150174081361683,,,0.58,2025-10-05T04:39:59
0xdc3ec2b25871d2fc8f616e548d05c199ffec40549265edc0b650d8f0cb503a58,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,ethereum-mainnet,avalanche-mainnet,0x68749665ff8d2d112fa859aa293f07a622782f38,XAUt,2569575,2.569575,3909.6603363869167,10046.17,0.072457164934555299,,,1.59,2025-10-05T04:56:35
0x6a33c349e4a6a42a9b35f59ec3ab05cc86381abaf1bb33e32313389dfb5607e5,0xde5700dc1df19fb63f85e85e9844e1853b91c91c,ethereum-mainnet,bitcoin-mainnet-bitlayer-1,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,11200500000,11200.500000,1.0002005651574943,11202.75,0.141950104399260008,,,3.12,2025-10-05T05:01:35
0x3a065896148c063b61ee25b71de45a9a1cabc6a451f072b7459b011f6c92d2bd,0xe25e69a76104e03b2d0f361893b4d6c89893afe0,ethereum-mainnet,avalanche-mainnet,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,1031191981050390711020,1031.191981050390711020,0.9985849324210031,1029.73,0.025680188345179187,,,0.57,2025-10-05T05:11:47
0xfed9aae421aeb23eef456ee664d396900ed7993455fc2ba7dfec895a8cff713c,0xeb48a1ee43b91959a1686b70b7cd482c65de69c9,ethereum-mainnet,avalanche-mainnet,,,,,,,0.029096425610446213,,,0.64,2025-10-05T05:34:11
0x9088a2a506e6b058a8059c2120a00694bdb071a03373f5e0449c48df6ee960c0,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.023869373614852328,,,0.53,2025-10-05T05:45:23
0xd4d3d6b7a7d89160c6b3300814d7d6c1cf52f02d92cf0b2015c2005d072c479d,0x5213ee3cf78d00995fa22fd7f3250964dd26e1be,ethereum-mainnet,ethereum-mainnet-base-1,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,97356957379345661906,97.356957379345661906,0.9985849324210031,97.22,0.023484361478657487,,,0.52,2025-10-05T05:55:11
